date,open,close,high,low,volume
2022-12-20,27.404,26.924,27.554,26.834,35954.0
2022-12-21,27.124,26.914,27.184,26.774,26182.0
2022-12-22,27.114,26.374,27.154,26.244,47120.0
2022-12-23,26.224,26.384,26.554,26.124,41212.0
2022-12-26,26.654,27.224,27.274,26.434,32339.0
2022-12-27,27.224,27.374,27.604,27.054,28452.0
2022-12-28,27.224,26.614,27.314,26.504,51681.0
2022-12-29,26.614,26.304,26.734,26.224,50503.0
2022-12-30,26.414,26.134,26.754,25.914,59449.0
2023-01-03,26.054,26.974,27.174,26.024,58397.0
2023-01-04,26.654,26.614,26.954,26.344,60104.0
2023-01-05,26.534,26.264,26.604,25.584,118992.0
2023-01-06,26.114,26.824,26.914,26.044,88830.0
2023-01-09,26.894,26.734,26.994,26.574,50292.0
2023-01-10,26.744,26.554,26.914,26.274,56341.0
2023-01-11,26.514,26.844,27.074,26.354,63344.0
2023-01-12,26.824,26.624,27.074,26.544,62927.0
2023-01-13,26.724,27.914,27.914,26.704,133298.0
2023-01-16,28.574,29.404,29.724,28.334,231883.0
2023-01-17,29.824,30.324,30.484,29.444,176201.0
2023-01-18,30.514,30.974,31.484,30.374,162337.0
2023-01-19,30.804,30.314,30.974,30.224,83840.0
2023-01-20,30.534,30.494,30.844,30.314,72849.0
2023-01-30,30.754,30.884,31.324,30.564,128742.0
2023-01-31,30.584,30.584,31.044,30.324,92018.0
2023-02-01,30.604,30.644,30.864,30.244,77419.0
2023-02-02,30.604,30.644,30.774,30.234,52118.0
2023-02-03,30.554,29.934,30.554,29.634,67896.0
2023-02-06,30.054,29.874,30.124,29.654,59954.0
2023-02-07,30.214,29.964,30.474,29.584,52932.0
2023-02-08,30.144,29.724,30.414,29.644,70949.0
2023-02-09,29.484,30.124,30.314,29.444,65213.0
2023-02-10,30.124,29.724,30.124,29.294,80489.0
2023-02-13,29.714,30.634,31.324,29.644,112359.0
2023-02-14,30.624,30.254,30.674,30.134,65407.0
2023-02-15,30.254,29.974,30.394,29.674,67212.0
2023-02-16,29.774,29.304,30.154,29.024,57056.0
2023-02-17,29.264,29.244,29.474,29.034,41162.0
2023-02-20,29.274,29.614,29.654,29.034,47863.0
2023-02-21,29.614,28.944,29.754,28.704,94541.0
2023-02-22,28.814,29.014,29.474,28.724,45918.0
2023-02-23,28.934,29.014,29.274,28.934,59946.0
2023-02-24,29.034,29.164,30.004,29.034,92929.0
2023-02-27,29.174,29.404,29.584,29.044,60076.0
2023-02-28,29.224,29.144,29.644,29.024,90245.0
2023-03-01,29.144,29.064,29.324,28.754,68379.0
2023-03-02,29.124,29.394,29.774,29.084,87083.0
2023-03-03,29.254,28.954,29.444,28.734,58358.0
2023-03-06,29.024,28.894,29.574,28.834,60325.0
2023-03-07,28.884,29.564,29.954,28.774,151092.0
2023-03-08,29.214,27.724,29.214,27.514,202864.0
2023-03-09,27.624,28.404,28.504,27.584,121936.0
2023-03-10,28.134,27.734,28.434,27.724,65914.0
2023-03-13,27.474,27.784,28.224,27.444,61194.0
2023-03-14,27.594,27.224,27.764,27.064,72766.0
2023-03-15,27.324,27.044,27.444,26.994,62504.0
2023-03-16,26.654,25.944,26.684,25.894,119260.0
2023-03-17,26.074,25.734,26.204,25.604,111271.0
2023-03-20,25.744,25.304,25.744,24.824,123168.0
2023-03-21,25.474,25.254,25.474,24.954,83979.0
2023-03-22,25.424,25.364,25.764,25.144,86552.0
2023-03-23,25.364,25.264,25.554,25.164,76900.0
2023-03-24,25.264,25.194,25.324,24.864,85809.0
2023-03-27,25.224,25.584,25.634,25.054,90295.0
2023-03-28,26.294,26.124,26.804,25.854,174164.0
2023-03-29,25.924,25.774,26.074,25.534,72983.0
2023-03-30,25.774,25.874,25.874,25.244,57398.0
2023-03-31,25.944,26.544,26.554,25.604,100293.0
2023-04-03,27.044,26.384,27.074,26.154,118716.0
2023-04-04,26.434,26.124,26.454,25.824,85174.0
2023-04-06,25.974,25.514,26.044,25.404,83978.0
2023-04-07,25.524,25.684,25.974,25.504,65415.0
2023-04-10,25.634,25.264,25.654,25.154,102622.0
2023-04-11,25.244,25.924,25.924,25.244,103505.0
2023-04-12,26.924,26.274,27.154,26.024,199390.0
2023-04-13,26.324,25.884,26.804,25.784,176560.0
2023-04-14,25.854,25.874,26.014,25.684,71189.0
2023-04-17,25.874,26.534,26.824,25.824,157816.0
2023-04-18,26.564,27.344,27.524,26.424,173378.0
2023-04-19,27.264,26.934,27.344,26.824,111628.0
2023-04-20,27.014,27.054,27.104,26.584,86746.0
2023-04-21,26.954,25.864,26.974,25.814,109220.0
2023-04-24,26.084,25.554,26.154,25.324,79427.0
2023-04-25,25.714,24.924,25.744,24.424,106261.0
2023-04-26,24.974,25.624,25.794,24.864,61533.0
2023-04-27,25.424,25.444,25.564,25.224,44689.0
2023-04-28,25.534,25.344,25.774,25.244,65378.0
2023-05-04,24.984,23.674,24.994,23.544,195871.0
2023-05-05,23.674,22.614,23.704,22.524,161144.0
